date,post-name,r-title,r-url,a-title,a-url,d-title,d-url,notes
2024-10-29,"Tue, Oct 29",Topic Theory and Leitmotif in Animal Crossing,http://www.smt-v.org/archives/volume9.html#variations-on-a-theme-by-k-k-slider-memory-and-play-in-animal-crossing-new-horizons,AC:NH Museum Variations,https://gmuedu-my.sharepoint.com/:f:/g/personal/mlavengo_gmu_edu/EnXH-XQ_-uVKtw5tJz6xe1gB_LD7aB9uzB5G344iTHaZNg?e=qwVNA9,Listening to Topics in Video Game Music,https://gmuedu-my.sharepoint.com/:f:/g/personal/mlavengo_gmu_edu/EnXH-XQ_-uVKtw5tJz6xe1gB_LD7aB9uzB5G344iTHaZNg?e=qwVNA9,
2024-10-31,"Thu, Oct 31",Leitmotif,/mm-lessons/leitmotif,LOTR Theme Analysis,https://gmuedu-my.sharepoint.com/:f:/g/personal/mlavengo_gmu_edu/EnXH-XQ_-uVKtw5tJz6xe1gB_LD7aB9uzB5G344iTHaZNg?e=qwVNA9,AC:NH Museum Variations,https://gmuedu-my.sharepoint.com/:f:/g/personal/mlavengo_gmu_edu/EnXH-XQ_-uVKtw5tJz6xe1gB_LD7aB9uzB5G344iTHaZNg?e=qwVNA9,[Star Wars leitmotif catalogue](https://franklehman.com/starwars/)
2024-11-05,"Tue, Nov 5",Neo-Riemannian Progressions in Film Music,https://coursemedia.gmu.edu/media/Film+Music+Analysis/1_g34v6mz9,LOTR Theme Analysis,https://gmuedu-my.sharepoint.com/:f:/g/personal/mlavengo_gmu_edu/EnXH-XQ_-uVKtw5tJz6xe1gB_LD7aB9uzB5G344iTHaZNg?e=qwVNA9,LOTR Theme Analysis,https://gmuedu-my.sharepoint.com/:f:/g/personal/mlavengo_gmu_edu/EnXH-XQ_-uVKtw5tJz6xe1gB_LD7aB9uzB5G344iTHaZNg?e=qwVNA9,Async class. Go vote! Also: watch Lord of the Rings! Video file is available in Teams :) and they are also streaming on HBO.
2024-11-07,"Thu, Nov 7",No class. Watch *Star Wars* Ep IV!,https://gmuedu-my.sharepoint.com/:v:/g/personal/mlavengo_gmu_edu/EaUf48WNENJAnoYNkqP0qXUB9eAPYxivsZD1VXRQ4iRr5g?e=3yAt3X,Star Wars leitmotif analysis,https://gmuedu-my.sharepoint.com/:f:/g/personal/mlavengo_gmu_edu/EnXH-XQ_-uVKtw5tJz6xe1gB_LD7aB9uzB5G344iTHaZNg?e=qwVNA9,LOTR Theme Analysis,https://gmuedu-my.sharepoint.com/:f:/g/personal/mlavengo_gmu_edu/EnXH-XQ_-uVKtw5tJz6xe1gB_LD7aB9uzB5G344iTHaZNg?e=qwVNA9,
2024-11-12,"Tue, Nov 12",Leitmotif,/mm-lessons/leitmotif,Final Fantasy VI Leitmotif Analysis,https://gmuedu-my.sharepoint.com/:f:/g/personal/mlavengo_gmu_edu/EnXH-XQ_-uVKtw5tJz6xe1gB_LD7aB9uzB5G344iTHaZNg?e=qwVNA9,Star Wars leitmotif analysis,https://gmuedu-my.sharepoint.com/:f:/g/personal/mlavengo_gmu_edu/EnXH-XQ_-uVKtw5tJz6xe1gB_LD7aB9uzB5G344iTHaZNg?e=qwVNA9,popular Youtuber 8-Bit Music Theory has a video series on this game
2024-11-14,"Thu, Nov 14",Leitmotif,/mm-lessons/leitmotif,Final prep worksheet,https://gmuedu-my.sharepoint.com/:f:/g/personal/mlavengo_gmu_edu/EnXH-XQ_-uVKtw5tJz6xe1gB_LD7aB9uzB5G344iTHaZNg?e=qwVNA9,Final Fantasy VI Leitmotif Analysis,https://gmuedu-my.sharepoint.com/:f:/g/personal/mlavengo_gmu_edu/EnXH-XQ_-uVKtw5tJz6xe1gB_LD7aB9uzB5G344iTHaZNg?e=qwVNA9,
2024-11-19,"Tue, Nov 19",Final project prep,/compositions/final,Final project,/compositions/final,Final prep worksheet,https://gmuedu-my.sharepoint.com/:f:/g/personal/mlavengo_gmu_edu/EnXH-XQ_-uVKtw5tJz6xe1gB_LD7aB9uzB5G344iTHaZNg?e=qwVNA9,
2024-11-21,"Thu, Nov 21",No class 🦃,,Final project,/compositions/final,none—work on projects,/compositions/final,
2024-11-26,"Tue, Nov 26",Final project prep,/compositions/final,Final project,/compositions/final,none—work on projects,/compositions/final,
2024-11-28,"Thu, Nov 28",Optional sharing of final projects,,Final project,/compositions/final,none—work on projects,/compositions/final,Optional project sharing day
2023-12-07,"Thu, Dec 7",Final projects due,,(Optional) revisions for final projects,/compositions/final,Final project,/compositions/final,Projects may be submitted anytime Dec 6–7
2023-12-12,"Tue, Dec 12",FIRM deadline for revisions,,,,(Optional) revisions for final projects,/compositions/final,Projects may be submitted anytime Dec 6–7
